date,AA,IBM,T,VOD,^GSPC
30/7/2013,18.52139897,142.9276297,22.19782342,19.47608738,1687.804993
31/7/2013,18.4983065,142.114315,21.9866531,19.5904776,1691.684998
1/8/2013,18.48675917,142.5427849,22.10776805,19.81272636,1698.63501
2/8/2013,18.40592865,141.1412334,22.13881779,19.88462746,1705.175049
5/8/2013,18.38283524,141.6895086,22.17919071,19.85848312,1706.39502
6/8/2013,18.4059241,138.9845308,22.07050287,19.88462959,1699.540039
7/8/2013,18.29054485,137.9277122,22.09534476,20.05458282,1690.105042
8/8/2013,18.17463198,137.4460561,21.99907448,20.00882591,1694.280029
9/8/2013,18.70781991,137.263524,21.7568447,20.0578503,1692.720032
12/8/2013,19.07872754,137.369368,21.64505491,19.8584845,1687.419983
13/8/2013,19.02077681,137.7708055,21.60157907,19.92711576,1689.715027
14/8/2013,18.90486874,137.2890624,21.52083207,19.84867901,1690.174988
15/8/2013,18.76577684,135.9097125,21.44630373,19.59375049,1669.099976
16/8/2013,18.62668015,135.6725397,21.20717996,19.58067303,1658.10498
19/8/2013,18.56873249,135.190911,21.05811593,19.39110789,1652.51001
20/8/2013,18.47600252,134.5778584,21.07675016,19.43032864,1652.5
21/8/2013,18.34850456,135.3259061,20.9028438,19.50877293,1648.210022
22/8/2013,18.51077523,135.1981603,20.865587,19.32901321,1652.290039
23/8/2013,18.69622911,135.1288402,21.14196445,19.51530545,1659.830017
26/8/2013,18.73100325,135.628763,21.18234409,19.53164986,1662.765015
27/8/2013,18.46441109,133.9465496,20.98979707,19.28325447,1640.795044
28/8/2013,18.44122873,133.0342658,20.93700936,19.11330078,1634.325012
29/8/2013,18.2325907,133.2423244,21.01464379,20.32585758,1638.64502
30/8/2013,17.98918193,133.0087618,20.94942885,20.94357489,1634.065002
3/9/2013,18.01236031,133.8589758,20.91527271,20.63634791,1642.380005
4/9/2013,18.04713813,133.7385447,20.79415369,21.04816481,1646.565002
5/9/2013,18.22100091,134.3114794,20.86558274,21.39460625,1656.119995
6/9/2013,18.31372881,134.1545266,20.74757408,21.45344131,1652.724976
9/9/2013,18.64986747,134.5778256,20.79726096,21.64953258,1664.625
10/9/2013,18.61509279,136.4826568,21.07054321,21.43382887,1679.599976
11/9/2013,18.77736605,137.8218712,21.15439076,21.66261238,1683.914978
12/9/2013,18.88168614,139.0917252,21.23822944,21.79334457,1685.964966
13/9/2013,18.82373142,140.1609304,21.40903382,21.95676613,1685.474976
16/9/2013,18.85850296,141.3724146,21.45561666,22.17900848,1698.324951
17/9/2013,19.00918252,140.8469376,21.55189147,22.04173798,1701.625
18/9/2013,19.50759701,141.1790413,21.52703807,22.17247125,1714.894958
19/9/2013,19.79737227,141.6242283,21.62331559,21.96002941,1725.029968
20/9/2013,19.35691492,140.2886503,21.44319744,21.93715348,1717.059998
23/9/2013,19.26418607,139.2998103,21.15128627,21.96656636,1704.269958
24/9/2013,19.31054997,139.1099948,21.21028459,22.29667121,1701.265015
25/9/2013,19.35691786,138.3436805,21.21649285,22.71828983,1696.794983
26/9/2013,19.24100897,139.1100058,21.27860862,22.86209636,1698.47998
27/9/2013,19.07872982,136.9825845,21.10780621,22.81960275,1691.315002
30/9/2013,18.85849962,135.4098493,20.98359482,22.88170467,1681.125
1/10/2013,18.81213847,135.4901002,21.11712397,23.03204473,1689.309998
2/10/2013,18.49918467,135.2784479,21.05811994,23.26410065,1687.10498
3/10/2013,18.34850226,134.2713108,20.98048739,23.37849415,1681.35498
4/10/2013,18.4760015,134.545018,20.92768897,23.26737126,1684.634949
7/10/2013,18.36009342,133.2495874,21.04259419,23.01570663,1680.924988
8/10/2013,18.41805019,131.6220967,21.00382944,22.88497461,1665.910034
9/10/2013,18.99759485,131.6476669,21.16432795,22.47315919,1654.469971
10/10/2013,19.21782263,133.9684721,21.31539427,22.65292073,1676.720032
11/10/2013,19.31055045,135.1434464,21.45701208,22.99609491,1695.97998
14/10/2013,19.42646103,135.5302607,21.39092272,23.16932094,1701.580017
15/10/2013,19.55396278,135.0741295,21.3468603,23.09741299,1703.75
16/10/2013,19.60032505,135.643385,21.42868802,23.42751817,1711.125
17/10/2013,19.78577892,127.5606579,21.57974742,24.1498222,1723.784973
18/10/2013,19.94805449,127.0789582,21.79375416,24.08445659,1740.525024
21/10/2013,19.95964599,126.7615246,22.08643498,24.04850396,1744.230042
22/10/2013,21.17669622,127.1775185,22.16825403,24.1857782,1752.904968
23/10/2013,21.21147166,127.8598942,22.10846635,24.1465522,1746.38501
24/10/2013,21.30419692,129.228341,21.79060041,24.15963333,1749.719971
25/10/2013,21.39692902,129.6734911,21.9951636,23.98640323,1756.134949
28/10/2013,21.84897138,129.2100484,22.28470145,23.81645313,1761.330017
29/10/2013,22.12715564,131.3010099,22.69697492,23.728208,1767.51001
30/10/2013,21.96488009,132.1110915,22.77250816,23.76089631,1766.22998
31/10/2013,21.74465575,131.6257606,22.81341546,24.13021855,1762.125
1/11/2013,21.46647194,131.0820207,22.96133803,24.13675235,1759.184998
4/11/2013,22.35897701,131.4177392,22.87950518,24.0746492,1765.170044
5/11/2013,22.62556605,130.4580585,22.61199802,23.99293965,1761.39502
6/11/2013,22.66030219,131.1659593,22.57108353,24.27401974,1769.070007
7/11/2013,21.31161589,132.4353287,22.29729681,23.99621016,1760.369995
8/11/2013,20.76516536,131.1293071,21.94481646,23.93084488,1759.205017
11/11/2013,21.21860462,133.3305265,22.09902668,23.76088898,1770.644958
12/11/2013,20.82329592,134.3870834,22.1210552,23.93738372,1767.035034
13/11/2013,20.67214937,133.9578484,22.03608251,24.03216313,1771.320007
14/11/2013,20.85817759,133.121393,22.16825364,24.28055592,1785.875
15/11/2013,21.00932572,133.7010273,22.21231797,24.42762877,1794.440002
