date,AAP,FB,GOOG,MSFT,^DJI
13/6/2013,80.21430123,23.55000019,434.6607819,29.46662291,15077.85986
14/6/2013,80.10284549,23.57499981,438.0655212,29.18298932,15125.35986
17/6/2013,80.23854671,24,440.2772369,29.54280961,15170.20996
18/6/2013,80.37911158,24.38500023,445.6670227,29.66133334,15263.19482
19/6/2013,80.95570815,24.64500046,450.3968048,29.49625056,15217.09033
20/6/2013,80.76658103,24.19999981,444.4117279,28.65809178,14918.77002
21/6/2013,79.36979139,24.375,439.0916748,28.26864482,14773.49463
24/6/2013,77.77414185,23.74499989,433.2685089,28.26441794,14673.52979
25/6/2013,78.70532404,24.23500061,434.4191895,28.71735773,14740.86035
26/6/2013,77.85173954,24.31999969,435.5101013,28.94170654,14854.33008
27/6/2013,77.89538654,24.52499962,438.6906738,29.32692654,14998.14502
28/6/2013,78.30280404,24.69999981,437.3681335,29.26342516,14959.71484
1/7/2013,79.61712074,24.84000015,442.6109924,29.34385363,14997.43994
2/7/2013,79.39404293,24.53499985,440.4167175,28.81470765,14959.86475
3/7/2013,79.16609066,24.42999935,440.2672729,28.77238912,14942.41504
5/7/2013,79.7092617,24.43000031,444.0231934,28.70888968,15054.35498
8/7/2013,80.97026871,24.7300005,449.1539612,29.02637452,15199.96973
9/7/2013,81.14003127,25.26000023,451.0418854,29.0983308,15274.43994
10/7/2013,80.46586807,25.64999962,451.1888275,29.26342976,15303.91992
11/7/2013,80.7180789,25.72500038,455.6247101,29.91532744,15390.7749
12/7/2013,80.33976659,25.73999977,457.8438873,30.05924499,15454.32959
15/7/2013,80.32036152,26.03999996,459.3681793,30.39366879,15482.625
16/7/2013,80.26703505,26.38000011,458.7479858,30.64341203,15456.93506
17/7/2013,79.69960249,26.53999996,459.0692902,30.42752656,15470.06006
18/7/2013,79.56861853,26.44500065,454.0954437,30.10158563,15527.65527
19/7/2013,79.90329032,25.8550005,442.9796143,26.96061754,15518.25488
22/7/2013,79.81597372,25.92499924,450.7280579,26.92675311,15546.20508
23/7/2013,80.53376999,26.13499928,451.4503479,26.98601367,15574.13965
24/7/2013,79.64625124,26.28999996,451.0593109,27.12571296,15549.71973
25/7/2013,79.30188221,33.81500053,444.0680237,26.62620459,15507.95996
26/7/2013,80.41734902,34.14500046,441.3432465,26.5965666,15483.06494
29/7/2013,79.93239629,34.81999969,442.2697601,26.66853653,15519.70459
30/7/2013,80.00028705,36.63999939,442.4615479,26.95215479,15536.52002
31/7/2013,80.06334185,37.3200016,444.008255,26.99025435,15563.64014
1/8/2013,80.6016733,37.60499954,448.2075043,26.96061863,15577.27002
2/8/2013,80.67928095,37.99500084,450.2672882,26.86749235,15608.55469
5/8/2013,80.84901795,38.78499985,449.4951782,26.93945171,15620.02002
6/8/2013,80.47072026,38.59499931,449.6745148,26.68969701,15540.92041
7/8/2013,79.90327993,38.31999969,445.216217,26.81669241,15468.97998
8/8/2013,78.79750935,38.80999947,443.6197052,27.56595232,15487.85986
9/8/2013,79.68505874,38.375,444.7131042,27.67178188,15427.20508
12/8/2013,80.46588031,38.29999924,440.5113678,27.69717648,15400.83984
13/8/2013,81.15940471,37.54500008,439.5275421,27.60673125,15423.23975
14/8/2013,81.56682391,37.08499908,435.2162018,27.73462123,15384.8501
15/8/2013,80.09243231,36.54500008,429.1215515,26.86497983,15213.37012
